filename,species_id,tree_H,weight
/train/00070.las,8,9.017999828,4.0795851709557893e-05
/train/00071.las,8,7.840999663,4.0795851709557893e-05
/train/00072.las,8,14.8950001,4.563020650626138e-05
/train/00073.las,8,18.73400038,4.214803510566555e-05
/train/00074.las,8,6.496999919,4.0795851709557893e-05
/train/00076.las,8,9.02300036,4.0795851709557893e-05
/train/00078.las,8,10.11199966,4.563020650626138e-05
/train/00079.las,8,19.99599952,4.214803510566555e-05
/train/00080.las,8,7.107000053,4.0795851709557893e-05
/train/00081.las,8,6.030999959,4.0795851709557893e-05
/train/00082.las,8,16.70800078,4.214803510566555e-05
/train/00083.las,8,18.99299926,4.214803510566555e-05
/train/00084.las,8,8.993000209,4.0795851709557893e-05
/train/00086.las,8,7.621999949,4.0795851709557893e-05
/train/00088.las,8,3.772999972,4.279720279804467e-05
/train/00090.las,8,16.6940003,4.214803510566555e-05
/train/00092.las,8,6.918999791,4.0795851709557893e-05
/train/00093.las,8,6.791000098,4.0795851709557893e-05
/train/00094.las,8,7.972000062,4.0795851709557893e-05
/train/00095.las,8,8.626000315,4.0795851709557893e-05
/train/00098.las,8,21.40199965,4.417032708745488e-05
/train/00099.las,8,6.591999888,4.0795851709557893e-05
/train/00100.las,8,7.543999791,4.0795851709557893e-05
/train/00101.las,8,9.191999882,4.0795851709557893e-05
/train/00102.las,8,8.279999912,4.0795851709557893e-05
/train/00104.las,8,8.801000416,4.0795851709557893e-05
/train/00105.las,8,17.83899993,4.214803510566555e-05
/train/00106.las,8,9.365000367,4.0795851709557893e-05
/train/00107.las,8,7.231000125,4.0795851709557893e-05
/train/00108.las,8,8.184999645,4.0795851709557893e-05
/train/00109.las,8,21.12399977,4.417032708745488e-05
/train/00110.las,8,15.39400023,4.214803510566555e-05
/train/00111.las,8,8.807999641,4.0795851709557893e-05
/train/00112.las,8,18.38000029,4.214803510566555e-05
/train/00113.las,8,6.907999903,4.0795851709557893e-05
/train/00114.las,8,13.50600043,4.563020650626138e-05
/train/00115.las,8,9.230000138,4.0795851709557893e-05
/train/00117.las,8,7.498999804,4.0795851709557893e-05
/train/00118.las,8,14.33699989,4.563020650626138e-05
/train/00121.las,8,21.00300086,4.417032708745488e-05
